"BOB CARR",2010-04-19,EX-POLITICIAN,LABOR
"HEATHER RIDOUT",2010-04-19,BUSINESSPERSON,
"SIMON SHEIKH",2010-04-19,OTHER,
"SHIMRIT NOTHMAN",2010-04-19,OTHER,
"GERMAINE GREER",2010-04-26,OTHER,
"GENERAL PETER COSGROVE",2010-04-26,MILITARY,
"PETER FITZSIMONS",2010-04-26,JOURNALIST,
"HENRY REYNOLDS",2010-04-26,ACADEMIC,
"BRIGADIER ALISON CREAGH",2010-04-26,MILITARY,
"PENNY WONG",2010-05-03,POLITICIAN,LABOR
"NICK MINCHIN",2010-05-03,POLITICIAN,LIBERAL
"JOHN SYMOND",2010-05-03,BUSINESSPERSON,
"PAUL HOWES",2010-05-03,"UNION LEADER",
"CHRISTINE MILNE",2010-05-03,POLITICIAN,GREENS
"BRENDAN OCONNOR",2010-05-10,POLITICIAN,LABOR
"SOPHIE MIRABELLA",2010-05-10,POLITICIAN,LIBERAL
"KAISER KUO",2010-05-10,OTHER,
"BRETT SOLOMON",2010-05-10,OTHER,
"HELEN RAZER",2010-05-10,JOURNALIST,
"LINDSAY TANNER",2010-05-17,POLITICIAN,LABOR
"JOE HOCKEY",2010-05-17,POLITICIAN,LIBERAL
"PETER CAREY",2010-05-24,AUTHOR,
"LIONEL SHRIVER",2010-05-24,JOURNALIST,
"JOHN RALSTON SAUL",2010-05-24,AUTHOR,
"MARCIA LANGTON",2010-05-24,ACADEMIC,
"MALCOLM FRASER",2010-05-24,POLITICIAN,LIBERAL
"CLARE BOWDITCH",2010-05-31,MUSICIAN,
"MITCHELL GRADY",2010-05-31,OTHER,LIBERAL
"MIRIAM LYONS",2010-05-31,OTHER,
"MAXINE MCKEW",2010-05-31,POLITICIAN,LABOR
"CORY BERNARDI",2010-05-31,POLITICIAN,LIBERAL
"KEVIN SHEEDY",2010-06-07,SPORTSPERSON,
"CHRIS BOWEN",2010-06-07,POLITICIAN,LABOR
"SCOTT MORRISON",2010-06-07,POLITICIAN,LIBERAL
"HEATH DUCKER",2010-06-07,OTHER,
"SAMAH HADID",2010-06-07,OTHER,
"PETER SINGER",2010-06-14,ACADEMIC,
"DAVID MARR",2010-06-14,JOURNALIST,
"PETER GARRETT",2010-06-14,POLITICIAN,LABOR
"HELEN COONAN",2010-06-14,POLITICIAN,LIBERAL
"JAYASHRI KULKARNI",2010-06-14,SCIENTIST,
"MALCOLM TURNBULL",2010-06-21,POLITICIAN,LIBERAL
"CRAIG EMERSON",2010-06-21,POLITICIAN,LABOR
"GRAHAM RICHARDSON",2010-06-21,EX-POLITICIAN,LABOR
"SARAH HANSON-YOUNG",2010-06-21,POLITICIAN,GREENS
"JESSICA BROWN",2010-06-21,OTHER,
"BILL SHORTEN",2010-06-28,POLITICIAN,LABOR
"BARNABY JOYCE",2010-06-28,POLITICIAN,NATIONAL
"MAGDA SZUBANSKI",2010-06-28,ACTOR,
"HAROLD MITCHELL",2010-06-28,BUSINESSPERSON,
"JANET ALBRECHTSEN",2010-06-28,JOURNALIST,
"ANNABEL CRABB",2010-07-05,JOURNALIST,
"TONY BURKE",2010-07-05,POLITICIAN,LABOR
"GEORGE BRANDIS",2010-07-05,POLITICIAN,LIBERAL
"CHERYL KERNOT",2010-07-05,EX-POLITICIAN,LABOR
"GRAHAME MORRIS",2010-07-05,OTHER,LIBERAL
"CHRIS EVANS",2010-07-12,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2010-07-12,POLITICIAN,LIBERAL
"JOHN ELLIOTT",2010-07-12,BUSINESSPERSON,LIBERAL
"LENORE TAYLOR",2010-07-12,JOURNALIST,
"SCOTT LUDLAM",2010-07-12,POLITICIAN,GREENS
"TANYA PLIBERSEK",2010-07-19,POLITICIAN,LABOR
"JULIE BISHOP",2010-07-19,POLITICIAN,LIBERAL
"PIERS AKERMAN",2010-07-19,JOURNALIST,
"BRUCE HAWKER",2010-07-19,OTHER,LABOR
"WALEED ALY",2010-07-19,ACADEMIC,
"PENNY WONG",2010-07-26,POLITICIAN,LABOR
"MALCOLM TURNBULL",2010-07-26,POLITICIAN,LIBERAL
"MALCOLM TURNBULL",2010-07-26,POLITICIAN,LIBERAL
"CHRISTINE MILNE",2010-07-26,POLITICIAN,GREENS
"GRAHAM RICHARDSON",2010-07-26,EX-POLITICIAN,LABOR
"TOM SWITZER",2010-07-26,JOURNALIST,LIBERAL
"CRAIG EMERSON",2010-08-02,POLITICIAN,LABOR
"BARNABY JOYCE",2010-08-02,POLITICIAN,NATIONAL
"PETER DUTTON",2010-08-02,POLITICIAN,LIBERAL
"LARISSA WATERS",2010-08-02,OTHER,GREENS
"MADONNA KING",2010-08-02,JOURNALIST,
"JULIA GILLARD",2010-08-09,POLITICIAN,LABOR
"TONY ABBOTT",2010-08-16,POLITICIAN,LIBERAL
"TONY BURKE",2010-08-12,POLITICIAN,LABOR
"SCOTT MORRISON",2010-08-12,POLITICIAN,LIBERAL
"BOB BROWN",2010-08-12,POLITICIAN,GREENS
"DR SUVENDRINI PERERA",2010-08-12,OTHER,
"JOHN ELLIOTT",2010-08-12,BUSINESSPERSON,LIBERAL
"MARK ARBIB",2010-08-23,POLITICIAN,LABOR
"MARK ARBIB",2010-08-23,POLITICIAN,LABOR
"MALCOLM TURNBULL",2010-08-23,POLITICIAN,LIBERAL
"SARAH HANSON-YOUNG",2010-08-23,POLITICIAN,GREENS
"TONY WINDSOR",2010-08-23,POLITICIAN,INDEPENDENT
"JANET ALBRECHTSEN",2010-08-23,JOURNALIST,
"GRAHAM RICHARDSON",2010-08-23,EX-POLITICIAN,LABOR
"JESSICA RUDD",2010-08-30,AUTHOR,
"MALCOLM FRASER",2010-08-30,POLITICIAN,LIBERAL
"JOHN KEANE",2010-08-30,ACADEMIC,
"CHRIS BERG",2010-08-30,OTHER,
"CHRISTINE WALLACE",2010-08-30,AUTHOR,
"PETER BEATTIE",2010-09-06,EX-POLITICIAN,LABOR
"BOB KATTER",2010-09-06,POLITICIAN,INDEPENDENT
"CHRISTINE MILNE",2010-09-06,POLITICIAN,GREENS
"NICK MINCHIN",2010-09-06,POLITICIAN,LIBERAL
"REBECCA HUNTLEY",2010-09-06,AUTHOR,
"TANYA PLIBERSEK",2010-09-13,POLITICIAN,LABOR
"WARREN TRUSS",2010-09-13,POLITICIAN,NATIONAL
"CLIVE PALMER",2010-09-13,BUSINESSPERSON,
"SARAH HANSON-YOUNG",2010-09-13,POLITICIAN,GREENS
"LENORE TAYLOR",2010-09-13,JOURNALIST,
"CHRIS BOWEN",2010-09-20,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2010-09-20,POLITICIAN,LIBERAL
"HELEN MCCABE",2010-09-20,JOURNALIST,
"CRAIG REUCASSEL",2010-09-20,COMIC,
"DR LESLIE CANNOLD",2010-09-20,OTHER,
"STEPHEN CONROY",2010-09-27,POLITICIAN,LABOR
"SOPHIE MIRABELLA",2010-09-27,POLITICIAN,LIBERAL
"ROB OAKESHOTT",2010-09-27,POLITICIAN,INDEPENDENT
"FIONA PATTEN",2010-09-27,OTHER,
"MUNGO MACCALLUM",2010-09-27,JOURNALIST,
"TARIQ ALI",2010-10-04,OTHER,
"GEOFFREY ROBERTSON",2010-10-04,OTHER,
"LENORE SKENAZY",2010-10-04,AUTHOR,
"RATIH HARDJONO",2010-10-04,AUTHOR,
"PAUL KELLY",2010-10-04,JOURNALIST,
"LISA FORREST",2010-10-11,SPORTSPERSON,
"GEOFF LAWSON",2010-10-11,SPORTSPERSON,
"MARK ARBIB",2010-10-11,POLITICIAN,LABOR
"ROY MASTERS",2010-10-11,SPORTSPERSON,
"KELLY O'DWYER",2010-10-11,POLITICIAN,LIBERAL
"TIM FLANNERY",2010-10-18,SCIENTIST,
"GREG HUNT",2010-10-18,POLITICIAN,LIBERAL
"MIKE KELLY",2010-10-18,JOURNALIST,LABOR
"JENNIFER MAROHASY",2010-10-18,SCIENTIST,
"BRUCE GUTHRIE",2010-10-18,JOURNALIST,
"JENNIFER HEWETT",2010-10-18,JOURNALIST,
"JOHN HOWARD",2010-10-25,EX-POLITICIAN,LIBERAL
"STEPHEN SMITH",2010-11-01,POLITICIAN,LABOR
"JULIE BISHOP",2010-11-01,POLITICIAN,LIBERAL
"COLIN BARNETT",2010-11-01,POLITICIAN,LIBERAL
"ANDREW FORREST",2010-11-01,BUSINESSPERSON,
"RACHEL SIEWERT",2010-11-01,POLITICIAN,GREENS
"TONY WILTSHIRE",2010-11-01,BUSINESSPERSON,
"BILL SHORTEN",2010-11-08,POLITICIAN,LABOR
"GEORGE BRANDIS",2010-11-08,POLITICIAN,LIBERAL
"JANET ALBRECHTSEN",2010-11-08,JOURNALIST,
"JONATHAN BIGGINS",2010-11-08,ACTOR,
"RANDA ABDEL-FATTAH",2010-11-08,OTHER,
"GRAHAM RICHARDSON",2011-02-07,EX-POLITICIAN,LABOR
"AMANDA VANSTONE",2011-02-07,EX-POLITICIAN,LIBERAL
"DAVID WILLIAMSON",2011-02-07,PLAYWRIGHT,
"CATHERINE DEVENY",2011-02-07,JOURNALIST,
"GERARD HENDERSON",2011-02-07,JOURNALIST,
"JOHN PILGER",2011-02-14,JOURNALIST,
"LYDIA KHALIL",2011-02-14,ACADEMIC,
"GREG SHERIDAN",2011-02-14,JOURNALIST,
"CRAIG EMERSON",2011-02-14,POLITICIAN,LABOR
"HELEN COONAN",2011-02-14,POLITICIAN,LIBERAL
"ANNA BLIGH",2011-02-21,POLITICIAN,LABOR
"TIM FLANNERY",2011-02-21,SCIENTIST,
"BARNABY JOYCE",2011-02-21,POLITICIAN,NATIONAL
"GINA CASTELAIN",2011-02-21,OTHER,
"IAN NELSON",2011-02-21,OTHER,"ONE NATION"
"BILL SHORTEN",2011-02-28,POLITICIAN,LABOR
"MALCOLM TURNBULL",2011-02-28,POLITICIAN,LIBERAL
"SAMAH HADID",2011-02-28,OTHER,
"PIERS AKERMAN",2011-02-28,JOURNALIST,
"GRETEL KILLEEN",2011-02-28,OTHER,
"GAIL KELLY",2011-03-07,BUSINESSPERSON,
"KATE ELLIS",2011-03-07,POLITICIAN,LABOR
"JOE HOCKEY",2011-03-07,POLITICIAN,LIBERAL
"JANET ALBRECHTSEN",2011-03-07,JOURNALIST,
"MIKE CARLTON",2011-03-07,JOURNALIST,
"JULIA GILLARD",2011-03-14,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2011-03-21,POLITICIAN,LIBERAL
"JASON CLARE",2011-03-21,POLITICIAN,LABOR
"LACHLAN HARRIS",2011-03-21,OTHER,LABOR
"CHRISTINE MILNE",2011-03-21,POLITICIAN,GREENS
"MIRANDA DEVINE",2011-03-21,JOURNALIST,
"TANYA PLIBERSEK",2011-03-28,POLITICIAN,LABOR
"CONCETTA FIERRAVANTI-WELLS",2011-03-28,POLITICIAN,LIBERAL
"GRAHAME MORRIS",2011-03-28,OTHER,LIBERAL
"JULIAN MORROW",2011-03-28,COMIC,
"JOHN DELLA BOSCA",2011-03-28,EX-POLITICIAN,LABOR
"KEVIN RUDD",2011-04-04,POLITICIAN,LABOR
"JULIE BISHOP",2011-04-04,POLITICIAN,LIBERAL
"JEFF BLEICH",2011-04-04,OTHER,
"LOUISE ADLER",2011-04-04,BUSINESSPERSON,
"ROBERT MANNE",2011-04-04,ACADEMIC,
"PENNY WONG",2011-04-11,POLITICIAN,LABOR
"GREG HUNT",2011-04-11,POLITICIAN,LIBERAL
"BESS PRICE",2011-04-11,OTHER,
"GRAEME INNES",2011-04-11,OTHER,
"CHRIS KENNY",2011-04-11,JOURNALIST,
"JIM MOLAN",2011-04-25,MILITARY,
"MATINA JEWELL",2011-04-25,MILITARY,
"EVA COX",2011-04-25,OTHER,
"NEIL JAMES",2011-04-25,MILITARY,
"NAJEEBA WAZEFADOST",2011-04-25,OTHER,
"NICK MINCHIN",2011-04-28,POLITICIAN,LIBERAL
"AMANDA VANSTONE",2011-04-28,EX-POLITICIAN,LIBERAL
"MARCIA LANGTON",2011-04-28,ACADEMIC,
"BOB CARR",2011-04-28,EX-POLITICIAN,LABOR
"ANGELA BISHOP",2011-04-28,JOURNALIST,
"CRAIG REUCASSEL",2011-04-28,COMIC,
"SIMON CREAN",2011-05-02,POLITICIAN,LABOR
"SOPHIE MIRABELLA",2011-05-02,POLITICIAN,LIBERAL
"TONY WINDSOR",2011-05-02,POLITICIAN,INDEPENDENT
"ELIZA BROWN",2011-05-02,BUSINESSPERSON,
"NICK KLOMP",2011-05-02,SCIENTIST,
"ALANA JOHNSON",2011-05-02,OTHER,
"LINDSAY TANNER",2011-05-09,POLITICIAN,LABOR
"MALCOLM TURNBULL",2011-05-09,POLITICIAN,LIBERAL
"LYDIA KHALIL",2011-05-09,ACADEMIC,
"CHRISTINE WALLACE",2011-05-09,AUTHOR,
"NAZEEM HUSSAIN",2011-05-09,COMIC,
"BILL SHORTEN",2011-05-16,POLITICIAN,LABOR
"ERIC ABETZ",2011-05-16,POLITICIAN,LIBERAL
"JUDGE FELICITY HAMPEL",2011-05-16,OTHER,
"JOHN ROSKAM",2011-05-16,OTHER,
"ANNA ROSE",2011-05-16,OTHER,
"HOWARD JACOBSON",2011-05-23,AUTHOR,
"BRENDAN COWELL",2011-05-23,ACTOR,
"MICHAEL CUNNINGHAM",2011-05-23,AUTHOR,
"GAIL DINES",2011-05-23,ACADEMIC,
"LESLIE CANNOLD",2011-05-23,AUTHOR,
"GEORGE BRANDIS",2011-05-30,POLITICIAN,LIBERAL
"KATE LUNDY",2011-05-30,POLITICIAN,LABOR
"GUY RUNDLE",2011-05-30,JOURNALIST,
"JACKIE KELLY",2011-05-30,EX-POLITICIAN,LIBERAL
"JOE HILDEBRAND",2011-05-30,JOURNALIST,
"NICOLA ROXON",2011-06-06,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2011-06-06,POLITICIAN,LIBERAL
"SANDY GUTMAN AKA AUSTEN TAYSHUS",2011-06-06,COMIC,
"LEE RHIANNON",2011-06-06,POLITICIAN,GREENS
"PAUL MCGEOUGH",2011-06-06,JOURNALIST,
"PETER GARRETT",2011-06-13,POLITICIAN,LABOR
"CONCETTA FIERRAVANTI-WELLS",2011-06-13,POLITICIAN,LIBERAL
"BOB KATTER",2011-06-13,POLITICIAN,INDEPENDENT
"MIKE CARLTON",2011-06-13,JOURNALIST,
"NATALIE PAAPAA",2011-06-13,MUSICIAN,
"FAUSTINA 'FUZZY' AGOLLEY",2011-06-20,JOURNALIST,
"JOSH THOMAS",2011-06-20,COMIC,
"RUSLAN KOGAN",2011-06-20,BUSINESSPERSON,
"SAMAH HADID",2011-06-20,OTHER,
"JAMES PATERSON",2011-06-20,OTHER,
"ANTHONY ALBANESE",2011-06-27,POLITICIAN,LABOR
"JOE HOCKEY",2011-06-27,POLITICIAN,LIBERAL
"ADAM BANDT",2011-06-27,POLITICIAN,GREENS
"JUDITH SLOAN",2011-06-27,ACADEMIC,
"FIONA KATAUSKAS",2011-06-27,ARTIST,
"PENNY WONG",2011-07-04,POLITICIAN,LABOR
"MATHIAS CORMANN",2011-07-04,POLITICIAN,LIBERAL
"CHARLES WATERSTREET",2011-07-04,OTHER,
"ELIZABETH ANN MACGREGOR",2011-07-04,ARTIST,
"STEPHEN ODOHERTY",2011-07-04,JOURNALIST,
"CHRIS BOWEN",2011-07-07,POLITICIAN,LABOR
"SCOTT MORRISON",2011-07-07,POLITICIAN,LIBERAL
